OBJ_ID,ARA_XCRD,ARA_YCRD,PRRCK_LARG,PRRCK_MDDL,LOCTN_ALTT,LOCTN_GRDN,EIGHT_AGL,CLZN_CD,TPGRP_TPCD,PRDN_FOM_C,SLANT_TYP,SLDPT_TPCD,SCSTX_CD,SLTP_CD,LDMARK_STN,MAP_LABEL
46,279440.66,315373.51,1,11,318.30,28.00,321.50,2,12,05,2,20,02,02,L102,B₂
47,278995.15,313954.37,1,11,302.20,23.70,156.80,2,12,01,1,10,01,01,L101,B₁
48,279995.66,315893.51,1,11,347.50,29.90,65.50,2,12,03,2,20,01,02,L102,B₂
49,280555.66,315853.51,1,11,259.00,29.00,78.90,2,12,05,2,20,01,02,L102,B₂
50,276067,314002.78,1,11,325.20,29.90,11.70,2,12,01,1,10,01,01,L101,B₁
51,275567,312507.78,1,11,356.10,23.00,231.40,2,12,01,1,10,01,01,L101,B₁
52,275567,312507.78,1,11,356.10,23.00,231.40,2,12,01,1,10,01,01,L101,B₁
53,275567,312507.78,1,11,356.10,23.00,231.40,2,12,01,1,10,01,01,L101,B₁
54,277891.03,313720.27,1,11,300.70,20.60,221.00,2,12,01,1,10,01,01,L101,B₁
55,277691.03,313795.27,1,11,244.00,20.30,288.60,2,12,01,1,10,01,01,L101,B₁
56,276474.67,311095.69,1,11,245.00,14.50,41.90,2,07,05,1,10,09,24,L624,Er₁
57,276484.67,311045.69,1,11,245.00,14.70,56.50,2,07,05,1,10,09,24,L624,Er₁
58,279460.15,314369.37,1,11,227.10,16.90,42.00,2,12,05,2,20,02,02,L102,B₂
59,279465.15,314194.37,1,11,224.40,22.40,31.10,2,12,05,2,20,01,02,L102,B₂
60,277446.03,313235.27,1,11,205.70,33.00,318.70,2,12,05,2,20,02,02,L102,B₂
61,277906.03,313105.27,1,11,243.80,23.60,265.80,2,12,05,2,20,01,02,L102,B₂
62,277759.67,311535.69,1,11,194.50,19.90,151.80,2,12,05,2,20,01,02,L102,B₂
63,277151.03,312725.27,1,11,230.00,24.30,298.70,2,12,05,2,20,01,02,L102,B₂
64,275792,311937.78,1,11,322.80,25.30,130.70,2,12,01,1,10,02,01,L101,B₁
65,276489.67,310540.69,1,11,315.60,13.10,52.10,2,,,,,,82,L983,R
66,279730.15,314424.37,1,11,208.40,18.30,111.90,2,,,,,,82,L983,R
67,279420.15,314314.37,1,11,249.60,14.80,143.90,2,,,,,,82,L983,R
68,277806.03,314300.27,1,11,268.30,12.80,246.90,2,,,,,,82,L983,R
69,278840.66,315113.51,1,11,297.60,18.90,83.70,2,12,05,2,20,02,02,L102,B₂
70,276861.03,314270.27,1,11,285.70,18.20,236.70,2,12,01,1,10,01,01,L101,B₁
71,282988.93,317312.77,2,26,303.00,12.80,53.70,2,07,05,2,20,02,14,L314,DRb₂
72,276352.25,314847.12,1,11,291.20,30.70,286.40,2,12,01,1,10,01,01,L101,B₁
73,276077,308509.33,1,11,268.40,28.70,266.00,2,12,01,1,10,01,01,L101,B₁
74,276569.67,309195.69,1,11,275.10,29.20,92.20,2,12,01,1,10,01,01,L101,B₁
75,279020.15,314064.37,1,11,267.40,32.50,29.60,2,12,05,2,20,01,02,L102,B₂
76,278979,314218,1,11,279.60,28.60,349.70,2,12,03,2,20,01,02,L102,B₂
77,277986.03,312910.27,1,11,245.80,23.20,279.40,2,12,05,2,20,01,02,L102,B₂
78,277621.03,313115.27,1,11,208.10,18.80,153.10,2,12,05,2,20,02,02,L102,B₂
79,277321.03,312800.27,1,11,226.30,26.70,26.10,2,12,05,2,20,01,02,L102,B₂
80,277481.03,312545.27,1,11,229.10,31.90,64.70,2,12,05,2,20,01,02,L102,B₂
81,277196.03,314265.27,1,11,245.10,25.80,173.40,2,,,,,,82,L983,R
82,279305.15,314044.37,1,11,223.80,25.30,82.20,2,,,,,,82,L983,R
83,283269,316923,2,26,322.00,8.40,127.70,2,07,01,1,20,02,13,L313,DRb₁
84,277151.03,313950.27,1,11,220.10,15.70,111.30,2,,,,,,82,L983,R
85,277076.03,313315.27,1,11,222.00,20.10,150.40,2,,,,,,82,L983,R
86,276481.03,313130.27,1,11,252.10,22.50,122.40,2,,,,,,82,L983,R
87,277211.03,312975.27,1,11,209.20,23.30,149.40,2,,,,,,82,L983,R
88,277821.03,312960.27,1,11,211.70,22.30,209.50,2,,,,,,82,L983,R
89,277411.03,312825.27,1,11,199.00,13.50,20.40,2,,,,,,82,L983,R
90,276971.03,312470.27,1,11,273.20,15.50,162.40,2,,,,,,82,L983,R
91,279774,316645,1,11,434.60,18.50,258.50,2,12,01,1,20,02,01,L101,B₁
92,278875.66,315053.51,1,11,294.30,27.60,127.10,2,12,05,2,20,02,02,L102,B₂
93,278237.25,316607.12,1,11,454.30,26.70,24.20,2,12,01,1,10,02,01,L101,B₁
94,280309,316459,1,11,309.10,26.70,339.20,2,12,06,3,30,01,03,L103,B₃
95,277521.03,312430.27,1,11,248.30,26.70,53.50,2,12,01,1,10,01,01,L101,B₁
96,276137,309586.93,1,11,313.60,30.60,216.00,2,12,01,1,10,02,01,L101,B₁
97,278775.15,314304.37,1,11,294.10,33.20,341.40,2,12,03,2,20,01,02,L102,B₂
98,278511.03,314330.27,1,11,357.50,23.20,82.70,2,12,03,2,20,01,02,L102,B₂
99,278111.03,312830.27,1,11,216.00,26.50,181.60,2,12,05,2,20,01,02,L102,B₂
100,275752,313832.78,1,11,320.60,25.60,285.70,2,12,05,2,20,01,02,L102,B₂
101,276356.03,313740.27,1,11,340.80,28.70,113.10,2,12,05,2,20,01,02,L102,B₂
102,277037,312188,1,11,231.50,30.30,268.20,2,12,05,2,20,01,02,L102,B₂
103,276969.67,309155.69,1,11,230.80,24.50,13.00,2,12,05,2,20,02,02,L102,B₂
104,277204.67,311360.69,1,11,195.10,24.20,188.30,2,,,,,,82,L983,R
105,277134.67,311340.69,1,11,195.40,11.80,113.20,2,,,,,,82,L983,R
106,277044.67,309265.69,1,11,189.70,21.00,90.50,2,,,,,,82,L983,R
107,277159.67,309260.69,1,11,161.30,19.10,88.70,2,,,,,,82,L983,R
108,275987,312677.78,1,11,280.60,4.60,195.70,2,,,,,,99,L999,E
109,276871.03,314070.27,1,11,244.10,7.40,105.80,2,,,,,,93,L993,C
110,278187.25,314857.12,1,11,395.00,22.30,60.70,2,12,03,2,20,02,02,L102,B₂
111,280566.08,317317.75,2,22,408.00,36.60,60.70,2,12,03,2,20,01,02,L102,B₂
112,280410.66,317173.51,2,22,423.20,32.30,243.80,2,12,01,1,10,01,01,L101,B₁
113,276764.67,309690.69,1,11,254.80,30.10,77.80,2,12,01,1,10,02,01,L101,B₁
114,279270.15,314149.37,1,11,210.10,5.70,72.40,2,12,05,3,30,01,03,L103,B₃
115,277581.03,314420.27,1,11,274.30,23.90,110.60,2,12,05,2,20,02,02,L102,B₂
116,276591.03,312365.27,1,11,269.80,24.70,226.40,2,12,05,2,20,01,02,L102,B₂
117,276187,309056.93,1,11,258.70,22.30,220.80,2,12,05,2,20,02,02,L102,B₂
118,276959.67,310920.69,1,11,215.40,32.90,182.30,2,12,03,2,20,02,02,L102,B₂
119,279210.15,314174.37,1,11,218.80,7.00,66.90,2,,,,,,93,L993,C
120,276376.03,313120.27,1,11,269.60,20.90,185.50,2,,,,,,93,L993,C
121,277116.03,312680.27,1,11,235.00,13.60,75.90,2,,,,,,93,L993,C
122,276669.67,310090.69,1,11,214.10,13.30,98.10,2,,,,,,93,L993,C
123,278557.25,314837.12,1,11,346.30,22.20,168.10,2,12,03,2,20,02,02,L102,B₂
124,279195.66,316443.51,1,11,414.80,25.20,266.50,2,12,01,1,10,01,01,L101,B₁
125,278507.25,316542.12,1,11,410.30,24.90,194.50,2,12,01,1,10,01,01,L101,B₁
126,278277.25,316022.12,1,11,419.90,25.40,133.40,2,12,01,1,10,02,01,L101,B₁
127,281894.02,316313.57,1,11,282.10,34.10,200.00,2,12,05,2,20,02,02,L102,B₂
128,278446.03,314300.27,1,11,391.70,26.90,58.40,2,12,01,1,10,01,01,L101,B₁
129,277281.03,314410.27,1,11,261.20,14.30,272.40,2,12,05,2,20,02,02,L102,B₂
130,276532,314237,1,11,308.40,14.80,105.50,2,12,05,2,20,01,02,L102,B₂
131,276641.03,314060.27,1,11,296.80,23.30,59.50,2,12,05,2,20,01,02,L102,B₂
132,277181.03,312165.27,1,11,225.30,26.70,75.50,2,12,05,2,20,01,02,L102,B₂
133,276609.67,310900.69,1,11,241.80,26.30,150.00,2,12,03,2,20,02,02,L102,B₂
134,276914.67,310780.69,1,11,238.70,25.30,339.40,2,12,03,2,20,02,02,L102,B₂
135,276232,309886.93,1,11,293.70,9.50,266.70,2,,,,,,93,L993,C
136,276232,309886.93,1,11,293.70,9.50,266.70,2,,,,,,93,L993,C
137,276232,309886.93,1,11,293.70,9.50,266.70,2,,,,,,93,L993,C
138,278900.66,315333.51,1,11,265.00,15.40,133.20,2,,,,,,82,L983,R
139,279870.66,314943.51,1,11,269.40,15.50,158.50,2,,,,,,82,L983,R
140,279895.66,314903.51,1,11,260.40,23.30,178.80,2,,,,,,82,L983,R
141,276972.25,314657.12,1,11,264.50,16.30,168.20,2,,,,,,82,L983,R
142,279355.66,314578.51,1,11,258.50,18.00,163.70,2,,,,,,82,L983,R
143,279605.66,314508.51,1,11,221.40,15.70,264.40,2,,,,,,82,L983,R
144,279255.66,315348.51,1,11,278.80,13.40,196.80,2,,,,,,93,L993,C
145,279034,314917,1,11,265.00,20.70,73.30,2,12,05,2,20,02,02,L102,B₂
146,278246.03,313125.27,1,11,275.70,31.30,99.10,2,12,01,1,10,01,01,L101,B₁
147,277041.03,314215.27,1,11,251.80,28.30,70.70,2,12,05,2,20,01,02,L102,B₂
148,278126.03,314220.27,1,11,345.30,36.30,292.50,2,12,05,2,20,01,02,L102,B₂
149,276776,313627,1,11,277.30,21.20,183.60,2,12,01,1,10,01,01,L101,B₁
150,276866.03,312100.27,1,11,250.80,30.40,178.30,2,12,05,2,20,01,02,L102,B₂
151,277326.03,312140.27,1,11,231.00,28.70,253.00,2,12,05,2,20,01,02,L102,B₂
152,276337,310666.93,1,11,291.90,29.80,1.80,2,12,03,2,20,02,02,L102,B₂
153,276634.67,310600.69,1,11,268.50,23.80,111.40,2,12,03,2,20,02,02,L102,B₂
154,277492.25,314547.12,1,11,282.80,11.00,87.90,2,,,,,,93,L993,C
155,276692.25,314637.12,1,11,289.40,26.10,98.30,2,12,05,2,20,02,02,L102,B₂
156,279215.66,314798.51,1,11,249.20,33.40,77.10,2,12,05,2,20,02,02,L102,B₂
157,279423,315324,1,11,336.00,12.10,310.30,2,12,01,1,20,02,01,L101,B₁
158,277482.25,315167.12,1,11,389.10,27.10,110.30,2,12,03,2,20,02,02,L102,B₂
159,278022.25,315502.12,1,11,386.90,28.80,115.40,2,12,05,2,20,02,02,L102,B₂
160,279040.66,315533.51,1,11,256.90,25.30,221.80,2,12,05,2,20,02,02,L102,B₂
161,279988,315444,1,11,291.60,39.40,56.80,2,12,05,2,20,02,02,L102,B₂
162,279300.66,315658.51,1,11,294.60,27.20,183.80,2,12,05,2,20,02,02,L102,B₂
163,279485.66,315293.51,1,11,317.10,20.20,277.70,2,12,05,2,20,02,02,L102,B₂
164,278451.03,313975.27,1,11,292.60,35.10,223.60,2,12,05,2,20,01,02,L102,B₂
165,276939,311822,1,11,226.30,31.70,278.70,2,12,05,2,20,01,02,L102,B₂
166,276489.67,310665.69,1,11,284.10,20.60,339.50,2,12,03,2,20,02,02,L102,B₂
167,276918,310859,1,11,202.60,26.30,15.40,2,12,05,3,30,03,03,L103,B₃
168,276616.03,314420.27,1,11,287.60,18.20,70.40,2,12,05,2,20,01,02,L102,B₂
169,278279,315406,1,11,346.90,36.80,304.30,2,12,05,2,20,02,02,L102,B₂
170,277167.25,315082.12,1,11,363.30,20.70,307.80,2,12,05,2,20,02,02,L102,B₂
171,279420.66,314623.51,1,11,230.50,27.90,67.00,2,12,05,2,20,02,02,L102,B₂
172,277422.25,314557.12,1,11,300.00,27.40,129.90,2,12,03,2,20,02,02,L102,B₂
173,276192,313982.78,1,11,340.80,31.60,291.00,2,12,01,1,10,01,01,L101,B₁
174,277466.03,314180.27,1,11,250.00,23.70,133.90,2,12,05,2,20,02,02,L102,B₂
175,277201.03,314150.27,1,11,235.20,21.10,216.60,2,12,05,2,20,02,02,L102,B₂
176,282256,316619,1,11,335.50,24.50,171.00,2,12,01,1,10,01,01,L101,B₁
177,281644.02,316573.57,1,11,345.80,21.50,203.20,2,12,01,1,10,01,01,L101,B₁
178,280664,316194,1,11,344.70,12.80,98.50,2,12,01,1,20,02,01,L101,B₁
179,279830.66,316488.51,1,11,398.20,30.90,335.20,2,12,01,1,10,01,01,L101,B₁
180,276724.67,310375.69,1,11,260.50,20.50,174.00,2,12,01,1,10,02,01,L101,B₁
181,276766.03,313870.27,1,11,281.90,34.20,353.70,2,12,05,2,20,01,02,L102,B₂
182,277466.03,311885.27,1,11,216.40,20.40,250.90,2,12,05,2,20,01,02,L102,B₂
183,277051.03,311785.27,1,11,229.40,28.70,27.50,2,12,05,2,20,01,02,L102,B₂
184,275742,312902.78,1,11,339.00,30.10,138.90,2,12,05,2,20,01,02,L102,B₂
185,279015.66,314583.51,1,11,287.90,23.00,168.70,2,12,03,2,20,02,02,L102,B₂
186,279114,316907,1,11,383.60,31.60,291.60,2,12,05,2,20,01,02,L102,B₂
187,279114,316907,1,11,383.60,31.60,291.60,2,12,05,2,20,01,02,L102,B₂
188,279095.66,317153.51,1,11,409.40,30.10,251.90,2,12,01,1,10,01,01,L101,B₁
189,276332,310746.93,1,11,287.40,23.70,47.60,2,12,01,1,10,01,01,L101,B₁
190,277866.03,314045.27,1,11,272.10,26.50,237.50,2,12,05,2,20,01,02,L102,B₂
191,278680.15,313864.37,1,11,275.20,27.40,241.50,2,12,05,2,20,01,02,L102,B₂
192,277086.03,313725.27,1,11,221.60,25.00,73.90,2,12,05,2,20,01,02,L102,B₂
193,276911.03,313535.27,1,11,233.40,16.60,77.80,2,12,05,2,20,01,02,L102,B₂
194,277221.03,311840.27,1,11,202.60,38.00,216.60,2,12,05,2,20,01,02,L102,B₂
195,276475,311440,1,11,270.10,23.40,132.00,2,12,05,2,20,02,02,L102,B₂
196,275892,312537.78,1,11,285.60,24.80,65.90,2,12,05,2,20,01,02,L102,B₂
197,275816,312928,1,11,351.30,34.60,192.00,2,12,01,1,10,01,01,L101,B₁
198,276102,310976.93,1,11,356.60,28.40,109.00,2,12,01,1,10,01,01,L101,B₁
199,276207,311822.78,1,11,327.00,28.20,106.10,2,12,01,1,10,02,01,L101,B₁
200,276652.25,315022.12,1,11,294.10,25.20,177.30,2,12,05,2,20,02,02,L102,B₂
201,277727,314723,1,11,322.30,29.60,288.70,2,12,03,2,20,02,02,L102,B₂
202,279085.66,314483.51,1,11,279.70,20.30,213.30,2,12,03,2,20,02,02,L102,B₂
203,279270.15,314254.37,1,11,245.10,28.60,209.80,2,12,05,2,20,01,02,L102,B₂
204,280270.66,315453.51,1,11,263.20,14.60,121.30,2,12,05,2,20,02,02,L102,B₂
205,278307.25,314547.12,1,11,379.40,20.00,32.50,2,12,03,2,20,02,02,L102,B₂
206,279975.66,316268.51,1,11,400.80,33.00,342.40,2,12,03,2,20,01,02,L102,B₂
207,278897,313776,1,11,247.70,31.80,251.50,2,12,05,2,20,01,02,L102,B₂
208,276661.03,313625.27,1,11,274.70,28.00,192.10,2,12,05,2,20,01,02,L102,B₂
209,275542,312357.78,1,11,329.10,18.50,242.20,2,12,05,2,20,01,02,L102,B₂
210,276223,312004,1,11,285.70,36.50,336.40,2,12,05,2,20,01,02,L102,B₂
211,280020.66,315658.51,1,11,341.60,22.40,163.00,2,12,01,1,10,01,01,L101,B₁
212,277817.25,315847.12,1,11,415.50,33.70,274.00,2,12,03,2,20,02,02,L102,B₂
213,280230.66,316048.51,1,11,310.10,30.20,224.60,2,12,05,2,20,01,02,L102,B₂
214,278457.25,315637.12,1,11,294.80,27.50,121.40,2,12,05,2,20,02,02,L102,B₂
215,276555,311339,1,11,282.70,11.30,142.00,2,12,01,1,10,02,01,L101,B₁
216,279210.15,313889.37,1,11,218.90,27.40,124.60,2,12,05,2,20,01,02,L102,B₂
217,276646.03,313410.27,1,11,244.70,25.00,180.10,2,12,05,2,20,01,02,L102,B₂
218,276282,313292.78,1,11,299.40,35.70,29.40,2,12,05,2,20,01,02,L102,B₂
219,277124.67,311465.69,1,11,208.10,19.30,73.00,2,12,05,2,20,02,02,L102,B₂
220,276302,311807.78,1,11,270.00,29.10,325.40,2,12,05,2,20,02,02,L102,B₂
221,276947.25,314712.12,1,11,284.20,20.50,197.90,2,12,05,2,20,02,02,L102,B₂
222,280225.66,315328.51,1,11,237.00,18.90,182.40,2,12,05,2,20,02,02,L102,B₂
223,279265.66,315133.51,1,11,262.20,28.20,248.40,2,12,05,2,20,02,02,L102,B₂
224,278406,316193,1,11,369.50,34.40,158.20,2,12,05,2,20,02,02,L102,B₂
225,279551.08,317342.75,2,22,430.90,38.10,108.70,2,12,05,2,20,02,02,L102,B₂
226,282764.02,316953.57,1,11,275.10,13.60,246.90,2,07,05,1,10,09,24,L624,Er₁
227,276986.03,314070.27,1,11,247.80,26.40,224.90,2,12,05,2,20,01,02,L102,B₂
228,283167.48,316549.09,2,26,294.40,8.80,156.50,2,,,,,,82,L983,R
229,282224.02,316423.57,1,11,263.00,18.50,197.10,2,,,,,,82,L983,R
230,277074.67,311670.69,1,11,260.50,19.10,48.40,2,12,01,1,10,02,01,L101,B₁
231,277177.25,314857.12,1,11,353.10,29.70,176.60,2,12,01,1,10,02,01,L101,B₁
232,278026.03,313855.27,1,11,302.60,30.30,293.50,2,12,05,2,20,01,02,L102,B₂
233,279030.15,313809.37,1,11,240.10,33.40,71.60,2,12,05,2,20,01,02,L102,B₂
234,276741.03,312950.27,1,11,243.70,28.00,2.10,2,12,05,2,20,01,02,L102,B₂
235,277014.67,311365.69,1,11,207.00,17.20,113.70,2,12,05,2,20,02,02,L102,B₂
236,275812,310721.93,1,11,317.30,17.50,207.20,2,12,05,2,20,01,02,L102,B₂
237,277179.67,310625.69,1,11,209.80,30.80,142.40,2,12,05,2,20,02,02,L102,B₂
238,275777,311495,1,11,301.80,26.70,317.60,2,12,05,2,30,02,02,L102,B₂
239,275777,311495,1,11,301.80,26.70,317.60,2,12,05,2,30,02,02,L102,B₂
240,275777,311495,1,11,301.80,26.70,317.60,2,12,05,2,30,02,02,L102,B₂
241,276207,311001.93,1,11,302.70,27.10,73.70,2,12,05,2,20,02,02,L102,B₂
242,279640.66,315043.51,1,11,286.80,27.20,106.70,2,12,05,2,20,02,02,L102,B₂
243,278067.25,315717.12,1,11,421.50,32.00,153.80,2,12,01,1,10,02,01,L101,B₁
244,276565,315185,1,11,340.00,0.00,-1.00,2,12,01,1,20,02,01,L101,B₁
245,276565,315185,1,11,340.00,0.00,-1.00,2,12,01,1,20,02,01,L101,B₁
246,277242.25,315592.12,1,11,401.00,30.70,271.50,2,12,01,1,10,02,01,L101,B₁
247,278447.25,316017.12,1,11,332.30,34.20,131.00,2,12,05,2,20,02,02,L102,B₂
248,278482.25,315947.12,1,11,337.00,28.30,104.40,2,12,05,2,20,02,02,L102,B₂
249,280181.08,317327.75,2,22,403.30,30.80,217.10,2,12,05,2,20,02,02,L102,B₂
250,279930.66,316643.51,1,11,357.00,27.50,334.70,2,12,05,2,20,01,02,L102,B₂
251,280150.66,316668.51,1,11,327.40,40.00,68.00,2,12,05,2,20,01,02,L102,B₂
252,280615.66,316618.51,1,11,282.00,31.60,27.30,2,12,05,2,20,01,02,L102,B₂
253,280430.66,316483.51,1,11,333.80,36.50,297.10,2,12,03,2,20,01,02,L102,B₂
254,283397.48,316759.09,2,26,288.70,10.30,131.20,2,07,05,2,20,02,14,L314,DRb₂
255,279820.66,316538.51,1,11,383.30,7.00,59.60,2,,,,,,93,L993,C
256,280405.66,316303.51,1,11,311.70,12.50,86.20,2,,,,,,93,L993,C
257,280540.66,316263.51,1,11,293.90,6.10,222.80,2,,,,,,93,L993,C
258,280620.66,316068.51,1,11,284.30,15.10,187.10,2,,,,,,82,L983,R
259,281474.02,316063.57,1,11,244.10,23.10,115.60,2,,,,,,82,L983,R
260,278985.66,315908.51,1,11,312.90,19.20,133.00,2,,,,,,82,L983,R
261,277591.03,313490.27,1,11,251.60,30.20,313.90,2,12,05,2,20,01,02,L102,B₂
262,276881.03,312850.27,1,11,246.60,27.00,343.30,2,12,05,2,20,01,02,L102,B₂
263,276172,310376.93,1,11,314.40,18.70,243.70,2,12,05,2,20,01,02,L102,B₂
264,276172,310376.93,1,11,314.40,18.70,243.70,2,12,05,2,20,01,02,L102,B₂
265,276934,310442,1,11,214.40,33.70,197.70,2,12,05,2,20,02,02,L102,B₂
266,276499.67,311175.69,1,11,251.70,17.60,122.20,2,12,05,2,20,02,02,L102,B₂
267,276617.25,314847.12,1,11,292.50,22.70,63.20,2,12,05,2,20,02,02,L102,B₂
268,276802,314797,1,11,291.00,30.10,226.60,2,12,05,2,20,02,02,L102,B₂
269,279905.66,315043.51,1,11,254.40,23.40,114.20,2,12,05,2,20,02,02,L102,B₂
270,283162.48,316634.09,2,26,297.60,13.60,118.40,2,07,05,2,20,02,14,L314,DRb₂
271,280804.02,315873.57,1,11,275.40,23.30,65.70,2,,,,,,82,L983,R
272,279870.66,315298.51,1,11,274.70,26.20,95.30,2,12,05,2,20,02,02,L102,B₂
273,279685.66,316438.51,1,11,430.50,28.40,82.30,2,12,03,2,20,01,02,L102,B₂
274,280770.66,316383.51,1,11,278.70,33.10,75.00,2,12,05,2,20,01,02,L102,B₂
275,278945.66,316168.51,1,11,332.40,34.60,292.20,2,12,05,2,20,01,02,L102,B₂
276,279190.66,316053.51,1,11,337.90,31.90,152.30,2,12,05,2,20,01,02,L102,B₂
277,279741.08,317637.75,2,22,535.10,27.60,203.20,2,12,01,1,10,02,01,L101,B₁
278,278720.66,315858.51,1,11,279.90,16.40,181.90,2,,,,,,82,L983,R
279,278442.25,315577.12,1,11,297.20,18.70,146.70,2,,,,,,82,L983,R
280,280335.66,315748.51,1,11,258.50,14.90,131.70,2,,,,,,93,L993,C
281,278127.25,315867.12,1,11,404.50,30.30,147.60,2,12,05,2,20,02,02,L102,B₂
282,280392,317006,1,11,351.10,31.00,246.30,2,12,05,2,20,01,02,L102,B₂
283,280110.66,316453.51,1,11,364.90,34.90,145.50,2,12,03,2,20,01,02,L102,B₂
284,277306.03,314035.27,1,11,239.30,10.70,194.40,2,,,,,,82,L983,R
285,277716.03,313805.27,1,11,253.30,21.20,264.60,2,,,,,,82,L983,R
286,277276.03,312945.27,1,11,205.00,9.20,70.50,2,,,,,,82,L983,R
287,277461.03,313320.27,1,11,202.40,23.40,173.30,2,,,,,,82,L983,R
288,277406.03,313320.27,1,11,203.30,25.70,219.30,2,,,,,,82,L983,R
289,277309.67,310695.69,1,11,167.20,25.50,92.00,2,,,,,,82,L983,R
290,278760.66,316503.51,1,11,378.30,33.20,258.50,2,12,05,2,20,02,02,L102,B₂
