,sd,sgg,umd,ADM_DR_CD
210,경상남도,산청군,시천면,3837036
214,경상남도,산청군,신등면,3837040
218,경상남도,산청군,신안면,3837038
226,경상남도,산청군,차황면,3837031
230,경상남도,진주시,금곡면,3803033
234,경상남도,진주시,금산면,3803040
238,경상남도,진주시,내동면,3803031
242,경상남도,진주시,명석면,3803043
246,경상남도,진주시,문산읍,3803011
250,경상남도,진주시,미천면,3803042
254,경상남도,진주시,상봉동,3803075
258,경상남도,진주시,수곡면,3803045
262,경상남도,진주시,진성면,3803034
266,경상남도,진주시,초장동,3803066
270,경상남도,진주시,판문동,3803070
274,경상남도,통영시,광도면,3805033
278,경상남도,통영시,도산면,3805032
282,경상남도,통영시,미수동,3805063
286,경상남도,통영시,봉평동,3805064
290,경상남도,통영시,산양읍,3805011
294,경상남도,통영시,용남면,3805031
298,경상남도,통영시,정량동,3805054
302,경상남도,하동군,고전면,3836035
306,경상남도,하동군,북천면,3836040
314,경상남도,하동군,양보면,3836039
322,경상남도,하동군,적량면,3836033
326,경상남도,하동군,진교면,3836038
330,경상남도,하동군,청암면,3836041
334,경상남도,하동군,하동읍,3836011
338,경상남도,하동군,화개면,3836031
346,경상남도,함양군,마천면,3838031
350,경상남도,함양군,백전면,3838039
358,경상남도,함양군,서상면,3838038
362,경상남도,함양군,서하면,3838037
366,경상남도,함양군,수동면,3838034
374,경상남도,함양군,유림면,3838033
378,경상남도,함양군,지곡면,3838035
386,경상남도,함양군,휴천면,3838032
390,경상남도,합천군,가야면,3840033
394,경상남도,합천군,가회면,3840044
398,경상남도,합천군,대병면,3840045
402,경상남도,합천군,대양면,3840041
406,경상남도,합천군,묘산면 ,3840032
410,경상남도,합천군,봉산면,3840031
414,경상남도,합천군,삼가면,3840043
418,경상남도,합천군,쌍백면,3840042
422,경상남도,합천군,쌍책면,3840037
426,경상남도,합천군,야로면,3840034
430,경상남도,합천군,용주면,3840046
434,경상남도,합천군,율곡면,3840035
438,경상남도,합천군,청덕면,3840039
442,경상남도,합천군,초계면,3840036
446,경상남도,합천군,합천읍,3840011
450,경상북도,고령군,대가야읍,3737012
454,경상북도,고령군,덕곡면,3737031
458,경상북도,고령군,쌍림면,3737037
462,경상북도,고령군,우곡면,3737036
466,경상북도,고령군,운수면,3737032
470,경상북도,성주군,가천면,3738034
474,경상북도,성주군,금수면,3738035
478,경상북도,성주군,대가면,3738036
482,경상북도,성주군,벽진면,3738037
486,경상북도,성주군,선남면,3738031
490,경상북도,성주군,성주읍,3738011
494,경상북도,성주군,수륜면,3738033
498,경상북도,성주군,용암면,3738032
502,경상북도,성주군,초전면,3738038
722,경상남도,합천군,묘산면,3840032
786,경상북도,봉화군,명호면,3741038
790,경상북도,봉화군,물야면,3741031
794,경상북도,봉화군,법전면,3741033
798,경상북도,봉화군,봉성면,3741032
802,경상북도,봉화군,봉화읍,3741011
806,경상북도,봉화군,석포면,3741036
810,경상북도,봉화군,소천면,3741035
814,경상북도,봉화군,재산면,3741037
818,경상북도,봉화군,춘양면,3741034
858,경상북도,영덕군,강구면,3735031
862,경상북도,영덕군,남정면,3735032
866,경상북도,영덕군,달산면,3735033
870,경상북도,영덕군,병곡면,3735037
874,경상북도,영덕군,영덕읍,3735011
878,경상북도,영덕군,영해면,3735036
882,경상북도,영덕군,지품면,3735034
886,경상북도,영덕군,창수면,3735038
890,경상북도,영덕군,축산면,3735035
894,경상북도,영양군,석보면,3734035
898,경상북도,영양군,수비면,3734034
902,경상북도,영양군,수비면 ,3734034
906,경상북도,영양군,영양읍,3734011
910,경상북도,영양군,일월면,3734033
914,경상북도,영양군,입암면,3734031
918,경상북도,영양군,청기면,3734032
922,경상북도,울진군,근남면,3742033
926,경상북도,울진군,금강송면,3742039
930,경상북도,울진군,기성면,3742035
934,경상북도,울진군,매화면,3742040
938,경상북도,울진군,북면,3742031
942,경상북도,울진군,온정면,3742036
946,경상북도,울진군,울진읍,3742011
950,경상북도,울진군,죽변면,3742037
954,경상북도,울진군,평해읍,3742012
958,경상북도,울진군,후포면,3742038
962,경상북도,청송군,부남면,3733032
966,경상북도,청송군,안덕면,3733035
970,경상북도,청송군,주왕산면,3733038
974,경상북도,청송군,진보면,3733037
978,경상북도,청송군,청송읍,3733011
982,경상북도,청송군,파천면,3733036
986,경상북도,청송군,현서면,3733034
990,경상북도,포항시 남구,대송면,3701131
994,경상북도,포항시 남구,연일읍,3701112
998,경상북도,포항시 남구,장기면,3701133
1002,경상북도,포항시 남구,제철동,3701157
1006,경상북도,포항시 북구,기계면 ,3701234
1010,경상북도,포항시 북구,기북면,3701236
1014,경상북도,포항시 북구,송라면,3701233
1018,경상북도,포항시 북구,신광면,3701231
1022,경상북도,포항시 북구,양학동,3701258
1026,경상북도,포항시 북구,용흥동  ,3701261
1030,경상북도,포항시 북구,우창동,3701263
1034,경상북도,포항시 북구,장량동,3701265
1038,경상북도,포항시 북구,죽장면,3701235
1042,경상북도,포항시 북구,중앙동,3701267
1046,경상북도,포항시 북구,청하면,3701232
1050,경상북도,포항시 북구,환여동,3701266
1054,경상북도,포항시 북구,흥해읍,3701211
1166,경상남도,김해시,대동면,3807037
1170,경상남도,김해시,북부동,3807055
1174,경상남도,김해시,불암동,3807060
1178,경상남도,김해시,상동면,3807036
1182,경상남도,김해시,생림면,3807035
1186,경상남도,김해시,장유1동,3807061
1190,경상남도,김해시,장유2동,3807062
1194,경상남도,김해시,진례면,3807033
1198,경상남도,김해시,한림면,3807034
1206,경상남도,남해군,남면 ,3835035
1230,경상남도,밀양시,내일동,3808051
1234,경상남도,밀양시,단장면,3808035
1238,경상남도,밀양시,무안면,3808038
1242,경상남도,밀양시,부북면,3808031
1246,경상남도,밀양시,산내면,3808034
1250,경상남도,밀양시,산외면,3808033
1254,경상남도,밀양시,삼랑진읍,3808011
1258,경상남도,밀양시,상동면,3808032
1262,경상남도,밀양시,청도면,3808039
1266,경상남도,밀양시,초동면,3808037
1334,경상남도,양산시,강서동,3810053
1338,경상남도,양산시,상북면,3810033
1342,경상남도,양산시,서창동,3810054
1346,경상남도,양산시,강서동,3810053
1350,경상남도,양산시,원동면,3810032
1354,경상남도,양산시,소주동,3810055
1358,경상남도,양산시,평산동,3810056
1362,경상남도,양산시,하북면,3810034
1366,경상남도,의령군,궁류면,3831041
1370,경상남도,의령군,봉수면,3831040
1374,경상남도,의령군,의령읍,3831011
1378,경상남도,의령군,칠곡면,3831032
1426,경상남도,창녕군,계성면,3833037
1430,경상남도,창녕군,고암면,3833031
1434,경상남도,창녕군,길곡면,3833041
1438,경상남도,창녕군,도천면,3833040
1442,경상남도,창녕군,부곡면,3833042
1446,경상남도,창녕군,성산면,3833032
1450,경상남도,창녕군,영산면,3833038
1454,경상남도,창녕군,창녕읍,3833011
1458,경상남도,창원시 마산합포구,구산면,3811331
1462,경상남도,창원시 마산합포구,완월동,3811357
1466,경상남도,창원시 마산합포구,자산동,3811358
1470,경상남도,창원시 마산합포구,진전면,3811334
1474,경상남도,창원시 마산회원구,내서읍,3811411
1478,경상남도,창원시 마산회원구,회성동,3811455
1482,경상남도,창원시 성산구,사파동,3811254
1486,경상남도,창원시 성산구,웅남동,3811257
1490,경상남도,창원시 의창구,동읍,3811111
1494,경상남도,창원시 의창구,봉림동,3811154
1498,경상남도,창원시 의창구,북면,3811131
1502,경상남도,창원시 진해구,웅동2동,3811565
1506,경상남도,창원시 진해구,자은동,3811560
1582,경상남도,함안군,여항면,3832039
1586,경상남도,함안군,칠북면,3832036
1590,경상남도,함안군,칠서면,3832035
1594,경상남도,함안군,칠원읍,3832012
1598,경상남도,함안군,함안면,3832031
1706,경상북도,경산시,남천면,3710036
1710,경상북도,경산시,용성면,3710033
1714,경상북도,경주시,감포읍,3702011
1718,경상북도,경주시,강동면,3702037
1722,경상북도,경주시,건천읍,3702013
1726,경상북도,경주시,내남면,3702033
1730,경상북도,경주시,동천동,3702064
1734,경상북도,경주시,불국동,3702066
1738,경상북도,경주시,산내면,3702034
1742,경상북도,경주시,선도동,3702059
1746,경상북도,경주시,불국동,3702066
1750,경상북도,경주시,양남면,3702032
1754,경상북도,경주시,양북면,3702031
1758,경상북도,경주시,외동읍,3702014
1762,경상북도,경주시,천북면,3702038
1786,경상북도,구미시,고아읍,3705012
1790,경상북도,구미시,무을면,3705031
1794,경상북도,구미시,선산읍,3705011
1798,경상북도,구미시,옥성면,3705032
1802,경상북도,구미시,인동동,3705070
1806,경상북도,군위군,고로면,3731037
1810,경상북도,군위군,부계면,3731033
1814,경상북도,군위군,소보면,3731031
1818,경상북도,김천시,개령면,3703033
1822,경상북도,김천시,구성면,3703040
1826,경상북도,김천시,농소면,3703031
1830,경상북도,김천시,대곡동,3703058
1834,경상북도,김천시,대덕면,3703043
1838,경상북도,김천시,대신동,3703056
1842,경상북도,김천시,대항면,3703037
1846,경상북도,김천시,지좌동,3703059
1850,경상북도,김천시,부항면,3703042
1854,경상북도,김천시,어모면,3703035
1858,경상북도,김천시,조마면,3703039
1862,경상북도,김천시,증산면,3703044
1866,경상북도,김천시,지례면,3703041
1870,경상북도,김천시,평화남산동,3703061
1874,경상북도,문경시,가은읍,3709012
1878,경상북도,문경시,동로면,3709035
1882,경상북도,문경시,산북면,3709034
1922,경상북도,상주시,낙동면,3708033
1926,경상북도,상주시,동성동,3708056
1930,경상북도,상주시,화서면,3708041
2030,경상북도,영주시,봉현면,3706036
2034,경상북도,영주시,상망동,3706051
2038,경상북도,영주시,평은면,3706032
2042,경상북도,영천시,고경면,3707038
2046,경상북도,영천시,완산동,3707054
2050,경상북도,영천시,청통면,3707031
2054,경상북도,예천군,유천면,3740037
2058,경상북도,울릉군,북면,3743032
2062,경상북도,울릉군,울릉읍,3743011
2106,경상북도,청도군,매전면,3736037
2110,경상북도,청도군,운문면,3736035
2114,경상북도,청도군,이서면,3736034
2118,경상북도,청도군,청도읍,3736012
2122,경상북도,청도군,화양읍,3736011
2154,경상북도,칠곡군,가산면,3739033
2158,경상북도,칠곡군,동명면,3739032
2162,경상북도,칠곡군,석적읍,3739013
2182,경상북도,포항시 북구,기계면,3701234
2222,경상북도,포항시 북구,청하면 ,3701232
